event_id,measure,position,official_trigger_point
128,98,1-of-4,m98 1-of-4
129,98,2-of-4,m98 2-of-4
130,98,3-of-4,m98 3-of-4
131,98,4-of-4,m98 4-of-4
132,99,1-of-4,m99 1-of-4
133,99,2-of-4,m99 2-of-4
134,99,3-of-4,m99 3-of-4
135,99,4-of-4,m99 4-of-4
136,100,1-of-4,m100 1-of-4
137,100,1+1/2-of-4,m100 1+1/2-of-4
138,100,2-of-4,m100 2-of-4
139,100,3-of-4,m100 3-of-4
140,100,4-of-4,m100 4-of-4
141,101,1-of-4,m101 1-of-4
142,101,2-of-4,m101 2-of-4
143,101,3-of-4,m101 3-of-4
144,101,3+1/2-of-4,m101 3+1/2-of-4
145,102,1-of-4,m102 1-of-4
146,102,2-of-4,m102 2-of-4
147,102,2+1/2-of-4,m102 2+1/2-of-4
148,102,3-of-4,m102 3-of-4
149,102,3+1/2-of-4,m102 3+1/2-of-4
150,102,4-of-4,m102 4-of-4
151,102,4+1/2-of-4,m102 4+1/2-of-4
152,103,2-of-4,m103 2-of-4
153,103,2+1/2-of-4,m103 2+1/2-of-4
154,103,3-of-4,m103 3-of-4
155,103,3+1/2-of-4,m103 3+1/2-of-4
156,104,1-of-4,m104 1-of-4
157,107,1-of-4,m107 1-of-4
158,112,1-of-4,m112 1-of-4
159,115,3-of-4,m115 3-of-4
160,116,2-of-4,m116 2-of-4
161,116,3-of-4,m116 3-of-4
162,117,3-of-3,m117 3-of-3
163,118,2-of-4,m118 2-of-4
164,119,2-of-3,m119 2-of-3
165,120,2-of-3,m120 2-of-3
166,120,3-of-3,m120 3-of-3
167,121,1-of-3,m121 1-of-3
168,122,1-of-3,m122 1-of-3
169,122,3-of-3,m122 3-of-3
170,124,1-of-3,m124 1-of-3
171,124,3-of-3,m124 3-of-3
172,125,1+1/2-of-3,m125 1+1/2-of-3
173,126,1-of-3,m126 1-of-3
174,127,1-of-3,m127 1-of-3
175,127,1+1/2-of-3,m127 1+1/2-of-3
176,127,3-of-3,m127 3-of-3
177,128,2-of-3,m128 2-of-3
178,129,2-of-3,m129 2-of-3
179,129,3-of-3,m129 3-of-3
180,130,2+1/2-of-3,m130 2+1/2-of-3
