event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
9,10,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-009-alto.mp3,30735.0,35440.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
9,10,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-009-tenor-bass.mp3,30735.0,35440.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
10,11,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-010-soprano.mp3,33088.0,37205.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
10,11,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-010-alto.mp3,33088.0,37205.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
10,11,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-010-tenor-bass.mp3,33088.0,37205.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
11,11,4-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-011-soprano.mp3,34853.0,37793.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
11,11,4-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-011-alto.mp3,34853.0,37793.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
11,11,4-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-011-tenor-bass.mp3,34853.0,37793.941,2940.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
12,12,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-012-soprano.mp3,35441.0,40146.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
12,12,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-012-alto.mp3,35441.0,40146.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
12,12,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-012-tenor-bass.mp3,35441.0,40146.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
13,13,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-013-soprano.mp3,37794.0,41323.941,3529.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
13,13,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-013-alto.mp3,37794.0,41323.941,3529.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
13,13,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-013-tenor-bass.mp3,37794.0,41323.941,3529.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
14,13,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-014-soprano.mp3,38971.0,44852.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
14,13,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-014-alto.mp3,38971.0,44852.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
14,13,3-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-014-tenor-bass.mp3,38971.0,44852.941,5881.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
15,15,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-015-soprano.mp3,42500.0,46617.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
15,15,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-015-alto.mp3,42500.0,46617.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
15,15,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-015-tenor-bass.mp3,42500.0,46617.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
16,15,4-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-016-soprano.mp3,44265.0,47793.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
16,15,4-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-016-alto.mp3,44265.0,47793.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
16,15,4-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-016-tenor-bass.mp3,44265.0,47793.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
17,16,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-017-soprano.mp3,45441.0,49558.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
17,16,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-017-alto.mp3,45441.0,49558.941,4117.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
