id,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,sample_length,measure_words,timing_note,primer
11,11,4-of-4,25.294118,25294,1.724083,27.018201,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short47.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""blue"": {""sample"": ""primerTones/short39.mp3"", ""note"": ""D#5""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""D#4""}, ""pink"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""G#3""}, ""purple"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""G#3""}}"
12,12,1-of-4,25.882353,25882,1.724083,27.606436,102.0,4/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""pink"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}}"
13,13,1-of-4,28.235294,28235,6.739625,34.974919,102.0,4/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long97.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/long85.mp3"", ""note"": ""B4""}, ""blue"": {""sample"": ""primerTones/long89.mp3"", ""note"": ""D#5""}, ""red"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/long77.mp3"", ""note"": ""D#4""}, ""pink"": {""sample"": ""primerTones/long70.mp3"", ""note"": ""G#3""}, ""purple"": {""sample"": ""primerTones/long70.mp3"", ""note"": ""G#3""}}"
14,13,3-of-4,29.411765,29412,6.739625,36.15139,102.0,4/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long97.mp3"", ""note"": ""B5""}, ""magenta"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/long85.mp3"", ""note"": ""B4""}, ""blue"": {""sample"": ""primerTones/long89.mp3"", ""note"": ""D#5""}, ""red"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/long77.mp3"", ""note"": ""D#4""}, ""pink"": {""sample"": ""primerTones/long70.mp3"", ""note"": ""G#3""}, ""purple"": {""sample"": ""primerTones/long70.mp3"", ""note"": ""G#3""}}"
15,15,1-of-4,32.941176,32941,6.739625,39.680801,102.0,4/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long95.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/long90.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""blue"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""pink"": {""sample"": ""primerTones/long75.mp3"", ""note"": ""C#4""}, ""purple"": {""sample"": ""primerTones/long75.mp3"", ""note"": ""C#4""}}"
16,15,4-of-4,34.705882,34706,6.739625,41.445507,102.0,4/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long95.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/long91.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""blue"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/long79.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/long79.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""pink"": {""sample"": ""primerTones/long76.mp3"", ""note"": ""D4""}, ""purple"": {""sample"": ""primerTones/long76.mp3"", ""note"": ""D4""}}"
17,16,2-of-4,35.882353,35882,1.724083,37.606436,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""orange"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""blue"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""purple"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}}"
18,17,1-of-4,37.647059,37647,6.739625,44.386684,102.0,4/4,6,LONG,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/long81.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""cyan"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""yellow"": {""sample"": ""primerTones/long78.mp3"", ""note"": ""E4""}, ""pink"": {""sample"": ""primerTones/long69.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/long69.mp3"", ""note"": ""G3""}}"
19,18,3-of-4,41.176471,41176,6.739625,47.916096,102.0,4/4,9,LONG,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/long92.mp3"", ""note"": ""F#5""}, ""magenta"": {""sample"": ""primerTones/long88.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/long88.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/long83.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""cyan"": {""sample"": ""primerTones/long80.mp3"", ""note"": ""F#4""}, ""yellow"": {""sample"": ""primerTones/long75.mp3"", ""note"": ""C#4""}, ""pink"": {""sample"": ""primerTones/long68.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/long68.mp3"", ""note"": ""F#3""}}"
20,20,1-of-4,44.705882,44706,1.724083,46.429965,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}}"
