id,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,sample_length,measure_words,timing_note,primer
38,38,3+1/2-of-4,93.65196,93652,1.724083,95.376043,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""magenta"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""orange"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""pink"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""purple"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}}"
39,38,4-of-4,94.068627,94069,1.724083,95.79271,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""magenta"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""orange"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}}"
40,39,1-of-4,94.901961,94902,1.724083,96.626044,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""orange"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""purple"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}}"
41,39,2-of-4,95.735294,95735,1.724083,97.459377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""orange"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""blue"": {""sample"": ""primerTones/short30.mp3"", ""note"": ""Gb4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""pink"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}}"
42,39,3-of-4,96.568628,96569,1.724083,98.292711,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""cyan"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""purple"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}}"
43,39,4-of-4,97.401961,97402,1.724083,99.126044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""yellow"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""pink"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""purple"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}}"
44,40,1+1/2-of-4,98.651961,98652,1.724083,100.376044,72.0,4/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""orange"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""yellow"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""pink"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""purple"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}}"
45,40,2-of-4,99.068627,99069,1.724083,100.79271,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""orange"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""blue"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""red"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""cyan"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""yellow"": {""sample"": ""primerTones/short33.mp3"", ""note"": ""A4""}, ""pink"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""purple"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}}"
46,40,3-of-4,99.901961,99902,1.724083,101.626044,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""purple"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}}"
47,41,1-of-4,101.568627,101569,1.724083,103.29271,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""B#4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""purple"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}}"
48,41,4+1/2-of-4,104.485294,104485,1.724083,106.209377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""C#5""}, ""magenta"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""orange"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
49,42,2-of-4,105.735294,105735,1.724083,107.459377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""magenta"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""orange"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}}"
50,42,4+1/2-of-4,107.818628,107819,1.724083,109.542711,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""magenta"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""orange"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}}"
51,43,1-of-4,108.235294,108235,1.724083,109.959377,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""magenta"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""orange"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}}"
52,43,4-of-4,110.735294,110735,1.724083,112.459377,72.0,4/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""D#4""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}}"
53,44,2-of-4,112.40196,112402,1.724083,114.126043,72.0,4/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""Ebb3""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""Db3""}}"
54,45,1-of-4,114.901961,114902,1.724083,116.626044,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""magenta"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""A#4""}, ""orange"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""A#4""}, ""blue"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""G#4""}, ""red"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""cyan"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""yellow"": {""sample"": ""primerTones/short23.mp3"", ""note"": ""B3""}, ""pink"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}, ""purple"": {""sample"": ""primerTones/short18.mp3"", ""note"": ""F#3""}}"
55,48,2-of-3,123.235294,123235,1.724083,124.959377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""magenta"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""orange"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""cyan"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""yellow"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}, ""pink"": {""sample"": ""primerTones/short1.mp3"", ""note"": ""C#2""}, ""purple"": {""sample"": ""primerTones/short1.mp3"", ""note"": ""C#2""}}"
56,48,3-of-3,124.068628,124069,1.724083,125.792711,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""magenta"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""orange"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""blue"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""red"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""cyan"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}}"
57,49,1+1/2-of-3,125.318628,125319,1.724083,127.042711,72.0,3/4,6,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""magenta"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""orange"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""blue"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""red"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""cyan"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}}"
58,49,3-of-3,126.568628,126569,1.724083,128.292711,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""magenta"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""orange"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""blue"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""red"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""cyan"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""yellow"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""pink"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""purple"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}}"
59,50,1-of-3,127.401961,127402,1.724083,129.126044,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""orange"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""blue"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""red"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""cyan"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""yellow"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""pink"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""purple"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}}"
60,50,3-of-3,129.068628,129069,1.724083,130.792711,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""orange"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""blue"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""pink"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""purple"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}}"
61,51,1-of-4,129.901961,129902,1.724083,131.626044,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""magenta"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""orange"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""blue"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""red"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""cyan"": {""sample"": ""primerTones/short21.mp3"", ""note"": ""A3""}, ""yellow"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""pink"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}, ""purple"": {""sample"": ""primerTones/short4.mp3"", ""note"": ""E2""}}"
62,51,1+1/2-of-4,130.318628,130319,1.724083,132.042711,72.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""magenta"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""orange"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""blue"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""Ab3""}, ""red"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""Ab3""}, ""cyan"": {""sample"": ""primerTones/short20.mp3"", ""note"": ""Ab3""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
63,52,1+1/2-of-3,133.651961,133652,1.724083,135.376044,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""orange"": {""sample"": ""primerTones/short34.mp3"", ""note"": ""Bb4""}, ""blue"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""red"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""cyan"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
64,52,2-of-3,134.068627,134069,1.724083,135.79271,72.0,3/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
65,52,2+1/2-of-3,134.485294,134485,1.724083,136.209377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short43.mp3"", ""note"": ""G5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""Ab4""}, ""red"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""Ab4""}, ""cyan"": {""sample"": ""primerTones/short32.mp3"", ""note"": ""Ab4""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
66,52,3+1/2-of-3,135.318627,135319,1.724083,137.04271,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short45.mp3"", ""note"": ""A5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""red"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""cyan"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
67,53,2-of-3,136.568627,136569,1.724083,138.29271,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short46.mp3"", ""note"": ""Bb5""}, ""magenta"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""orange"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""blue"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""red"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""cyan"": {""sample"": ""primerTones/short35.mp3"", ""note"": ""B4""}, ""yellow"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""pink"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}, ""purple"": {""sample"": ""primerTones/short10.mp3"", ""note"": ""Bb2""}}"
68,54,1-of-3,138.235294,138235,1.724083,139.959377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""magenta"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""orange"": {""sample"": ""primerTones/short28.mp3"", ""note"": ""E4""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
69,54,1+1/2-of-3,138.651961,138652,1.724083,140.376044,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
70,54,2+1/2-of-3,139.485294,139485,1.724083,141.209377,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
71,54,3-of-3,139.901961,139902,1.724083,141.626044,72.0,3/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
72,55,1-of-3,140.735294,140735,1.724083,142.459377,72.0,3/4,9,SHORT,"[""reversed"", ""-impact sound event""]",musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short40.mp3"", ""note"": ""E5""}, ""magenta"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""orange"": {""sample"": ""primerTones/short36.mp3"", ""note"": ""C5""}, ""blue"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
73,55,1+1/2-of-3,141.151961,141152,1.724083,142.876044,72.0,3/4,9,SHORT,"[""reversed"", ""-impact sound event""]",musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""magenta"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""orange"": {""sample"": ""primerTones/short38.mp3"", ""note"": ""D5""}, ""blue"": {""sample"": ""primerTones/short41.mp3"", ""note"": ""F5""}, ""red"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""cyan"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""yellow"": {""sample"": ""primerTones/short24.mp3"", ""note"": ""C4""}, ""pink"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}, ""purple"": {""sample"": ""primerTones/short8.mp3"", ""note"": ""Ab2""}}"
